14,11,-57.9929799,-34.8997998,alta
14,12,-57.9951245,-34.9012077,alta
14,13,-57.9880045,-34.9061351,alta
14,14,-57.9861172,-34.9045865,alta
14,15,-57.9835437,-34.9062758,alta
14,16,-57.981828,-34.9046569,alta
14,17,-57.977882,-34.9073317,alta
14,18,-57.974708,-34.9045161,alta
15,1,-57.9835437,-34.9063462,alta
15,2,-57.9799408,-34.9093025,alta
15,3,-57.9828575,-34.9119067,alta
15,4,-57.9844016,-34.9109917,alta
15,5,-57.9853452,-34.911766,alta
15,6,-57.9867177,-34.9111325,alta
15,7,-57.985002,-34.9093729,alta
15,8,-57.986203,-34.9085986,alta
15,9,-57.9835437,-34.9063462,alta
16,1,-57.9417324,-34.896632,baja
16,2,-57.9609687,-34.8819881,baja
16,3,-57.9634591,-34.884382,baja
16,4,-57.9674094,-34.8814248,baja
16,5,-57.9694704,-34.8829738,baja
16,6,-57.9719608,-34.8814248,baja
16,7,-57.9752241,-34.8838891,baja
16,8,-57.9681823,-34.8890288,baja
16,9,-57.9666365,-34.8885359,baja
16,10,-57.964919,-34.8897328,baja
16,11,-57.9689551,-34.8934641,baja
16,12,-57.9654342,-34.8964912,baja
16,13,-57.969041,-34.9001518,baja
16,14,-57.9655201,-34.9028971,baja
16,15,-57.9666365,-34.9040234,baja
16,16,-57.9634591,-34.906487,baja
16,17,-57.9639743,-34.9075428,baja
16,18,-57.9607969,-34.9098656,baja
16,19,-57.9625144,-34.9116252,baja
16,20,-57.960711,-34.9134552,baja
16,21,-57.9613981,-34.9144405,baja
16,22,-57.9591653,-34.9163408,baja
16,23,-57.9581348,-34.9152147,baja
16,24,-57.957276,-34.9158482,baja
16,25,-57.9553867,-34.914159,baja
16,26,-57.9542703,-34.9148628,baja
16,27,-57.9548715,-34.9157778,baja
16,28,-57.9541845,-34.9163408,baja
16,29,-57.9533257,-34.9154259,baja
16,30,-57.9525528,-34.9159889,baja
16,31,-57.9516082,-34.9152147,baja
16,32,-57.9501483,-34.9160593,baja
16,33,-57.9492037,-34.9152147,baja
16,34,-57.9532398,-34.9123994,baja
16,35,-57.9541845,-34.9131033,baja
16,36,-57.9563314,-34.911766,baja
16,37,-57.9554726,-34.910851,baja
16,38,-57.9573619,-34.9091617,baja
16,39,-57.9557302,-34.9070501,baja
16,40,-57.9533257,-34.9085986,baja
16,41,-57.9546997,-34.9104287,baja
16,42,-57.9529822,-34.9121179,baja
16,43,-57.9519517,-34.9113437,baja
16,44,-57.9490319,-34.9135256,baja
16,45,-57.9432782,-34.909584,baja
16,46,-57.9459404,-34.907402,baja
16,47,-57.9438793,-34.9051496,baja
16,48,-57.9447381,-34.9043753,baja
16,49,-57.9477438,-34.9055015,baja
16,50,-57.948946,-34.9050792,baja
16,51,-57.9467133,-34.9031787,baja
16,52,-57.9488602,-34.8997998,baja
16,53,-57.9455969,-34.8963504,baja
16,54,-57.9417324,-34.896632,baja
17,1,-57.9751382,-34.9065574,baja
17,2,-57.9686116,-34.9111325,baja
17,3,-57.9714456,-34.9138071,baja
17,4,-57.9672376,-34.9169742,baja
17,5,-57.9670659,-34.9155666,baja
17,6,-57.9636308,-34.9179595,baja
17,7,-57.965606,-34.9198597,baja
17,8,-57.963545,-34.9215488,baja
17,9,-57.9653484,-34.9216895,baja
17,10,-57.9618274,-34.9244341,baja
17,11,-57.9638026,-34.9264749,baja
17,12,-57.9646613,-34.9257712,baja
17,13,-57.965606,-34.9266861,baja
17,14,-57.964232,-34.9279527,baja
17,15,-57.9632015,-34.9270379,baja
17,16,-57.9605393,-34.9289379,baja
17,17,-57.9615698,-34.9298527,baja
17,18,-57.9581348,-34.9323156,baja
17,19,-57.9599382,-34.9327378,baja
17,20,-57.9625144,-34.9307675,baja
17,21,-57.964232,-34.9321748,baja
17,22,-57.9653484,-34.9300638,baja
17,23,-57.96698,-34.930486,baja
17,24,-57.969728,-34.9328081,baja
17,25,-57.9695563,-34.9340747,baja
17,26,-57.9677529,-34.9354116,baja
17,27,-57.969728,-34.9373818,baja
17,28,-57.9680964,-34.9383669,baja
17,29,-57.9703292,-34.9400555,baja
17,30,-57.9637167,-34.9449806,baja
17,31,-57.9617416,-34.943292,baja
17,32,-57.9671518,-34.9390705,baja
17,33,-57.9654342,-34.9374522,baja
17,34,-57.9663789,-34.9364671,baja
17,35,-57.9652625,-34.9356931,baja
17,36,-57.9644896,-34.9363967,baja
17,37,-57.9631156,-34.9352709,baja
17,38,-57.9650048,-34.9340043,baja
17,39,-57.9639743,-34.9334414,baja
17,40,-57.9621709,-34.9330896,baja
17,41,-57.9567608,-34.9366078,baja
17,42,-57.9576195,-34.9376632,baja
17,43,-57.9566749,-34.9383669,baja
17,44,-57.9578771,-34.9394926,baja
17,45,-57.956589,-34.9404073,baja
17,46,-57.9587359,-34.9422366,baja
17,47,-57.9568466,-34.9437141,baja
17,48,-57.9556444,-34.9430809,baja
17,49,-57.9544421,-34.9438549,baja
17,50,-57.9594229,-34.9484279,baja
17,51,-57.9571901,-34.9501164,baja
17,52,-57.9637167,-34.9561663,baja
17,53,-57.9617416,-34.9577139,baja
17,54,-57.9699857,-34.9653811,baja
17,55,-57.9741936,-34.9621455,baja
17,56,-57.9948038,-34.948639,baja
17,57,-57.9937733,-34.9475133,baja
17,58,-57.9912829,-34.9492721,baja
17,59,-57.9904242,-34.9481465,baja
17,60,-57.9893936,-34.9489907,baja
17,61,-57.988449,-34.9481465,baja
17,62,-57.9857868,-34.9499757,baja
17,63,-57.9830388,-34.9468801,baja
17,64,-57.9758252,-34.9522269,baja
17,65,-57.9734207,-34.9495535,baja
17,66,-57.9717891,-34.9502571,baja
17,67,-57.9686975,-34.9477947,baja
17,68,-57.9698998,-34.9465284,baja
17,69,-57.967667,-34.9446991,baja
17,70,-57.9706727,-34.9422366,baja
17,71,-57.9755676,-34.9469505,baja
17,72,-57.9752241,-34.9475133,baja
17,73,-57.9779721,-34.9503978,baja
17,74,-57.9807202,-34.9483576,baja
17,75,-57.9712738,-34.9397741,baja
17,76,-57.9735066,-34.9383669,baja
17,77,-57.9828671,-34.9462469,baja
17,78,-57.9860445,-34.9446288,baja
17,79,-57.9829529,-34.9419552,baja
17,80,-57.986388,-34.9392815,baja
17,81,-57.9887925,-34.9372411,baja
17,82,-57.987075,-34.9354116,baja
17,83,-57.9823518,-34.9386483,baja
17,84,-57.9802908,-34.9371003,baja
17,85,-57.9824377,-34.9352005,baja
17,86,-57.9838117,-34.9359042,baja
17,87,-57.9855292,-34.9347784,baja
17,88,-57.9865597,-34.9351302,baja
17,89,-57.9889643,-34.9338636,baja
17,90,-57.9848422,-34.9305564,baja
17,91,-57.9827812,-34.9320341,baja
17,92,-57.9813213,-34.9303453,baja
17,93,-57.9869032,-34.9259823,baja
17,94,-57.9878479,-34.9269675,baja
17,95,-57.989136,-34.9264046,baja
17,96,-57.9915405,-34.9288675,baja
17,97,-57.9921417,-34.9285157,baja
17,98,-57.9962637,-34.931823,baja
17,99,-57.9958343,-34.9321748,baja
17,100,-57.9985824,-34.9349894,baja
17,101,-58.0009869,-34.9334414,baja
17,102,-58.0040784,-34.9358338,baja
17,103,-58.0072559,-34.9336525,baja
17,104,-58.0053666,-34.9316823,baja
17,105,-58.0066547,-34.9311193,baja
17,106,-58.005796,-34.9301342,baja
17,107,-58.0087157,-34.9278824,baja
17,108,-58.0059677,-34.9250675,baja
17,109,-58.0035632,-34.9266861,baja
17,110,-58.0002999,-34.9237304,baja
17,111,-57.9972084,-34.9259823,baja
17,112,-57.9903383,-34.919719,baja
17,113,-57.9896513,-34.9211265,baja
17,114,-57.9887066,-34.9216192,baja
17,115,-57.9888784,-34.9224637,baja
17,116,-57.9860445,-34.9248564,baja
17,117,-57.9833823,-34.9226044,baja
17,118,-57.9803767,-34.9245749,baja
17,119,-57.9781439,-34.922534,baja
17,120,-57.9808919,-34.920282,baja
17,121,-57.9819224,-34.9211265,baja
17,122,-57.9841552,-34.9197894,baja
17,123,-57.9820942,-34.9181707,baja
17,124,-57.9839835,-34.9166223,baja
17,125,-57.9832964,-34.9154962,baja
17,126,-57.9844128,-34.9146517,baja
17,127,-57.9832106,-34.9135959,baja
17,128,-57.9822659,-34.9144405,baja
17,129,-57.9803767,-34.9126106,baja
17,130,-57.9791744,-34.9133848,baja
17,131,-57.9751382,-34.9095137,baja
17,132,-57.9771992,-34.9079651,baja
17,133,-57.9751382,-34.9065574,baja
18,1,-57.9754817,-34.9009965,muyAlta
18,2,-57.9771134,-34.9024044,muyAlta
18,3,-57.9747947,-34.9043753,muyAlta
18,4,-57.9751382,-34.9059943,muyAlta
18,5,-57.9681823,-34.910851,muyAlta
18,6,-57.966293,-34.9090209,muyAlta
18,7,-57.9648331,-34.9101471,muyAlta
18,8,-57.9631156,-34.9082467,muyAlta
18,9,-57.966293,-34.9057831,muyAlta
18,10,-57.968354,-34.9074724,muyAlta
18,11,-57.9734207,-34.9038826,muyAlta
18,12,-57.9726478,-34.9027563,muyAlta
18,13,-57.9754817,-34.9009965,muyAlta
19,1,-57.9688693,-34.9040937,muyAlta
19,2,-57.9710162,-34.9025451,muyAlta
19,3,-57.9688693,-34.900363,muyAlta
19,4,-57.9678388,-34.9012077,muyAlta
19,5,-57.9691269,-34.902334,muyAlta
19,6,-57.967667,-34.9032491,muyAlta
19,7,-57.9688693,-34.9040937,muyAlta
20,1,-57.9617416,-34.912681,muyAlta
20,2,-57.9628579,-34.9116956,muyAlta
20,3,-57.964919,-34.9119771,muyAlta
20,4,-57.9670659,-34.9138071,muyAlta
20,5,-57.9670659,-34.9154259,muyAlta
20,6,-57.9638026,-34.9178188,muyAlta
20,7,-57.9657777,-34.9198597,muyAlta
20,8,-57.9632873,-34.921408,muyAlta
20,9,-57.9652625,-34.9216895,muyAlta
20,10,-57.9617416,-34.9243638,muyAlta
20,11,-57.9595947,-34.9226748,muyAlta
20,12,-57.9607969,-34.9217599,muyAlta
20,13,-57.9629438,-34.9216192,muyAlta
20,14,-57.9614839,-34.9198597,muyAlta
20,15,-57.9624286,-34.9190856,muyAlta
20,16,-57.9604534,-34.9170446,muyAlta
20,17,-57.9617416,-34.9159185,muyAlta
20,18,-57.9606252,-34.915074,muyAlta
20,19,-57.9616557,-34.9143701,muyAlta
20,20,-57.9625144,-34.9154259,muyAlta
20,21,-57.9636308,-34.9144405,muyAlta
20,22,-57.9617416,-34.912681,muyAlta
21,1,-57.9626771,-34.9253842,muyAlta
21,2,-57.9618613,-34.9245397,muyAlta
21,3,-57.9610455,-34.9251027,muyAlta
21,4,-57.9599291,-34.9241878,muyAlta
21,5,-57.9558929,-34.9271786,muyAlta
21,6,-57.9577822,-34.9289379,muyAlta
21,7,-57.9626771,-34.9253842,muyAlta
22,1,-57.9541325,-34.9319989,muyAlta
22,2,-57.9571381,-34.9298879,muyAlta
22,3,-57.9580828,-34.9307675,muyAlta
22,4,-57.9604443,-34.9289731,muyAlta
22,5,-57.9617325,-34.9298527,muyAlta
22,6,-57.9581686,-34.9324211,muyAlta
22,7,-57.9601008,-34.9325267,muyAlta
22,8,-57.9625054,-34.9308027,muyAlta
22,9,-57.9698907,-34.9373114,muyAlta
22,10,-57.9674862,-34.9390353,muyAlta
22,11,-57.9692466,-34.9408998,muyAlta
22,12,-57.9661551,-34.9431513,muyAlta
22,13,-57.964137,-34.941322,muyAlta
22,14,-57.9663269,-34.9398093,muyAlta
22,15,-57.9643088,-34.9380151,muyAlta
22,16,-57.9661551,-34.9366078,muyAlta
22,17,-57.9653393,-34.9356931,muyAlta
22,18,-57.9643517,-34.9363967,muyAlta
22,19,-57.9631494,-34.9353764,muyAlta
22,20,-57.9653822,-34.9337581,muyAlta
22,21,-57.9600579,-34.9329137,muyAlta
22,22,-57.9559788,-34.9356579,muyAlta
22,23,-57.9568805,-34.9366078,muyAlta
22,24,-57.95585,-34.937417,muyAlta
22,25,-57.9567946,-34.9385428,muyAlta
22,26,-57.955807,-34.939176,muyAlta
22,27,-57.9547765,-34.9383669,muyAlta
22,28,-57.9536601,-34.9391056,muyAlta
23,1,-57.9543042,-34.9439956,muyAlta
23,2,-57.9571811,-34.9465635,muyAlta
23,3,-57.9549912,-34.9480761,muyAlta
23,4,-57.9542183,-34.9473023,muyAlta
23,5,-57.9531878,-34.9479706,muyAlta
23,6,-57.9532737,-34.9446288,muyAlta
24,1,-57.9678726,-34.9445584,muyAlta
24,2,-57.9700195,-34.9430458,muyAlta
24,3,-57.9708783,-34.94389,muyAlta
24,4,-57.971737,-34.9434679,muyAlta
24,5,-57.9753438,-34.9471264,muyAlta
24,6,-57.9740557,-34.9482872,muyAlta
24,7,-57.9721664,-34.946458,muyAlta
24,8,-57.9711789,-34.9471615,muyAlta
24,9,-57.9678726,-34.9445584,muyAlta
25,1,-57.9850049,-34.9302749,muyAlta
25,2,-57.9897281,-34.9268268,muyAlta
25,3,-57.9914885,-34.928762,muyAlta
25,4,-57.9921755,-34.9279879,muyAlta
25,5,-57.9962117,-34.9318934,muyAlta
25,6,-57.9944942,-34.9330544,muyAlta
25,7,-57.9935925,-34.9323156,muyAlta
25,8,-57.9921755,-34.9330544,muyAlta
25,9,-57.9963405,-34.9368541,muyAlta
25,10,-57.9929484,-34.9394575,muyAlta
25,11,-57.9910162,-34.9375577,muyAlta
25,12,-57.9898998,-34.9384724,muyAlta
25,13,-57.9889552,-34.937417,muyAlta
25,14,-57.9910162,-34.9357283,muyAlta
25,15,-57.9850049,-34.9302749,muyAlta
26,1,-57.9591562,-34.9160945,muyAlta
26,2,-57.9581686,-34.9152851,muyAlta
26,3,-57.9571381,-34.9159537,muyAlta
26,4,-57.9550771,-34.9142294,muyAlta
26,5,-57.9547765,-34.9160945,muyAlta
26,6,-57.9542183,-34.9165168,muyAlta
26,7,-57.9532308,-34.915637,muyAlta
26,8,-57.9525438,-34.9160945,muyAlta
26,9,-57.9513844,-34.9152147,muyAlta
26,10,-57.9507404,-34.9157426,muyAlta
26,11,-57.9527584,-34.9175373,muyAlta
26,12,-57.9535313,-34.9170094,muyAlta
26,13,-57.9545618,-34.9179595,muyAlta
26,14,-57.9561935,-34.9166927,muyAlta
26,15,-57.9572669,-34.917678,muyAlta
26,16,-57.9591562,-34.9160945,muyAlta
27,1,-57.9500533,-34.9162001,baja
27,2,-57.9507833,-34.9156722,baja
27,3,-57.9527584,-34.9175021,baja
27,4,-57.9535313,-34.9170094,baja
27,5,-57.9546048,-34.9179595,baja
27,6,-57.9562794,-34.9167631,baja
27,7,-57.957224,-34.9176076,baja
27,8,-57.9562364,-34.9182059,baja
27,9,-57.9582974,-34.9202468,baja
27,10,-57.959285,-34.9195079,baja
27,11,-57.9582974,-34.9186633,baja
27,12,-57.9602726,-34.9172206,baja
27,13,-57.9624195,-34.9190856,baja
27,14,-57.9588556,-34.9215488,baja
27,15,-57.9604014,-34.9220766,baja
27,16,-57.9596285,-34.9226396,baja
27,17,-57.9617754,-34.9246101,baja
27,18,-57.9609596,-34.9251027,baja
27,19,-57.960015,-34.9241175,baja
27,20,-57.9541325,-34.9285157,baja
27,21,-57.9532308,-34.9407239,baja
27,22,-57.9523291,-34.9401611,baja
27,23,-57.9514274,-34.9406184,baja
27,24,-57.9522861,-34.941709,baja
27,25,-57.9510839,-34.9425181,baja
27,26,-57.953059,-34.9445584,baja
27,27,-57.9529302,-34.9481817,baja
27,28,-57.951685,-34.9489555,baja
27,29,-57.9487652,-34.9461414,baja
27,30,-57.9476059,-34.9469857,baja
27,31,-57.9494093,-34.9487445,baja
27,32,-57.9483358,-34.9496239,baja
27,33,-57.943398,-34.9452268,baja
27,34,-57.9443426,-34.9393519,baja
27,35,-57.9486364,-34.9274249,baja
27,36,-57.9500533,-34.9162001,baja
28,1,-57.9506545,-34.9499053,media
28,2,-57.9528873,-34.9481817,media
28,3,-57.9549912,-34.9500108,media
28,4,-57.9506545,-34.9499053,media
29,1,-57.9795088,-34.9026507,media
29,2,-57.9776625,-34.9006797,media
29,3,-57.9764602,-34.9016652,media
29,4,-57.9735834,-34.8989551,media
29,5,-57.9723382,-34.8996942,media
29,6,-57.9694184,-34.8974768,media
29,7,-57.9713506,-34.8960688,media
29,8,-57.9722523,-34.8967376,media
29,9,-57.9725099,-34.8964912,media
29,10,-57.9713506,-34.8952944,media
29,11,-57.9736263,-34.8936753,media
29,12,-57.9757732,-34.8954704,media
29,13,-57.9736693,-34.8970896,media
29,14,-57.9765032,-34.8999406,media
29,15,-57.9775766,-34.8990959,media
29,16,-57.976589,-34.8982863,media
29,17,-57.9777054,-34.8974416,media
29,18,-57.980754,-34.900187,media
29,19,-57.9820422,-34.8992366,media
29,20,-57.9830727,-34.9001166,media
29,21,-57.9795088,-34.9026507,media
30,1,-57.9991315,-34.905044,media
30,2,-58.0021801,-34.9027211,media
30,3,-58.0004626,-34.9009261,media
30,4,-58.0037688,-34.8984623,media
30,5,-58.001579,-34.8965264,media
30,6,-57.9993891,-34.8983215,media
30,7,-57.9982727,-34.897336,media
30,8,-57.9972422,-34.8981103,media
30,9,-57.9923044,-34.8935345,media
30,10,-57.9910592,-34.8944145,media
30,11,-57.9888693,-34.8924433,media
30,12,-57.9900716,-34.891528,media
30,13,-57.9890411,-34.8905424,media
30,14,-57.9880106,-34.8913168,media
30,15,-57.9868942,-34.8905072,media
30,16,-57.9858637,-34.8912816,media
30,17,-57.9868512,-34.8921265,media
30,18,-57.9834591,-34.8947313,media
30,19,-57.9825574,-34.8939569,media
30,20,-57.9813122,-34.8947313,media
30,21,-57.97938,-34.8926897,media
30,22,-57.9801958,-34.8921265,media
30,23,-57.9791653,-34.8911408,media
30,24,-57.9769325,-34.8927601,media
30,25,-57.9780919,-34.8936401,media
30,26,-57.9757303,-34.8952944,media
30,27,-57.9779631,-34.89716,media
30,28,-57.9924332,-34.8957872,media
30,29,-57.993936,-34.8972304,media
30,30,-57.9920038,-34.8985679,media
30,31,-57.9898139,-34.8969136,media
30,32,-57.9875382,-34.8987087,media
30,33,-57.9868512,-34.8980047,media
30,34,-57.985649,-34.8988495,media
30,35,-57.9892128,-34.902158,media
30,36,-57.9928625,-34.8996238,media
30,37,-57.9950524,-34.9013485,media
30,38,-57.9976716,-34.899483,media
30,39,-57.9986592,-34.9003982,media
30,40,-57.9995609,-34.9014189,media
30,41,-57.9972422,-34.9033898,media
30,42,-57.9991315,-34.905044,media
31,1,-57.9865637,-34.9393167,media
31,2,-57.9831716,-34.9416738,media
31,3,-57.9862631,-34.9445232,media
